Li-Cl,,K-Cl,
X,Y,X,Y
0.06696411,0,0.04312668,0
0.27761653,0,0.09583708,0
0.47869384,0,0.19167415,0
0.6318956,0,0.26355196,0
0.77061095,0,0.53189578,0
0.9076322,0,0.73091343,0
1.04362533,0,0.80222846,0
1.22555242,0,0.86805771,0
1.32130352,0,0.94485851,0
1.39268866,0,1.09733453,0
1.52238083,0,1.21914706,0
1.63727774,0.015359209,1.29320497,0
1.71386101,0.074095946,1.4327643,0
1.75213502,0.162341992,1.63880855,0
1.79815557,0.377627312,1.70463781,0
1.82861258,0.574344793,1.85205151,0
1.85009003,0.824082104,1.98715502,0
1.8572322,0.927558005,2.13237496,0
1.86098901,1.033645822,2.26654687,0.008695896
1.88013259,1.165258697,2.40071878,0.082298948
1.88284718,1.251614855,2.45893133,0.272238359
1.89535206,1.530983727,2.55401803,0.543463689
1.91444062,1.737020363,2.61156035,0.877781986
1.91557009,1.793593749,2.64989518,1.201889567
1.92377771,1.839216654,2.68823001,1.511264182
1.92396728,1.898916358,2.72773412,1.819613504
1.92647653,1.97823208,2.7688774,2.133732622
1.93345871,2.178567707,2.77448338,2.174207896
1.94827892,2.382614922,2.81824934,2.464714424
1.95374212,2.441583218,2.83198562,2.498306652
1.95644053,2.582002891,2.91790752,2.73593765
1.96190541,2.635354198,2.93980234,2.7560839
1.97171094,2.835862539,3.0787661,2.542391928
1.98915083,3.166109199,3.09074573,2.512920483
1.99057464,3.297137871,3.17756735,2.186252187
1.9906319,3.10578542,3.281797,1.848874738
1.99064951,3.046907743,3.37133691,1.565354131
1.99187365,3.224942112,3.46008456,1.393397881
2.00965439,3.532613346,3.4902563,1.300618388
2.02461143,3.717210657,3.53159629,1.186750662
2.0328035,3.814790707,3.81940257,0.710140291
2.03825536,3.911673676,3.88248894,0.760710664
2.04152698,3.968118361,4.09463911,0.6745209
2.05050502,4.186532366,4.30215043,0.617152429
2.06825633,4.391870737,4.35579515,0.626518526
2.07536581,4.444095622,4.56272455,0.629682314
2.07918557,4.500328661,4.7821554,0.684397325
2.0851968,4.559506585,4.99610047,0.74122317
2.09363229,4.628579986,5.18901676,0.820547327
2.12347451,4.854327896,5.40479042,0.941324374
2.20457596,4.904731545,5.60776395,1.046646381
2.21610188,4.850787278,5.79976594,1.139323584
2.22707933,4.798107841,6.00273947,1.181396316
2.23641506,4.737005946,6.20297012,1.189737366
2.2453835,4.682223836,6.43062962,1.155899604
2.25178791,4.64851014,6.63634603,1.100988854
2.2784668,4.455878692,6.83657668,1.037647393
2.3023344,4.238433366,7.04366454,0.990115093
2.30673254,4.193433219,7.22332354,0.936270494
2.31332923,4.127702352,7.44220581,0.900750126
2.32046996,4.075451248,7.46195459,0.902427681
2.32596877,4.015409598,7.65019467,0.871778931
2.32597917,3.980654481,7.86343217,0.860631032
2.34796308,3.778402554,7.98802037,0.890039601
2.36904229,3.546803542,,
2.38367243,3.498189699,,
2.38643197,3.434291412,,
2.39742624,3.325442089,,
2.41119013,3.118992547,,
2.44414002,2.90239713,,
2.4485431,2.840883038,,
2.46338142,2.707101269,,
2.4749074,2.652946364,,
2.5073174,2.408969136,,
2.52710672,2.206914261,,
2.54395157,2.090839928,,
2.55292177,2.03015998,,
2.59426022,1.779927778,,
2.62540336,1.580948628,,
2.68057274,1.323467222,,
2.75724409,1.087815572,,
2.91534242,0.723219255,,
2.99915987,0.605309748,,
3.06692417,0.536079081,,
3.08611366,0.514277955,,
3.2039763,0.432614807,,
3.22590369,0.419234121,,
3.34649436,0.378991221,,
3.37938051,0.375420097,,
3.40404244,0.38169383,,
3.45643853,0.379997367,,
3.5138903,0.376211808,,
3.64246025,0.378446666,,
3.66164196,0.382624112,,
3.78495583,0.399950303,,
3.8178363,0.415336516,,
3.85071972,0.420892998,,
3.88360209,0.429960099,,
3.91648383,0.44113357,,
3.94936472,0.455115535,,
4.08089062,0.503320037,,
4.10007086,0.512412348,,
4.35488878,0.650963893,,
4.38776736,0.672669218,,
4.42064553,0.69577879,,
4.45352453,0.716079867,,
4.48640291,0.738487316,,
4.51928213,0.75808627,,
4.65079374,0.854035175,,
4.66997335,0.865233857,,
4.79326516,0.956283023,,
4.82614332,0.979392595,,
4.85902212,1.000395796,,
4.89190049,1.022803244,,
4.92477908,1.044508569,,
4.95765745,1.066916017,,
5.08917285,1.150226698,,
5.11109415,1.157207596,,
5.23165288,1.22368748,,
5.26179318,1.238236186,,
5.30289762,1.244620091,,
5.33578062,1.25158082,,
5.36866236,1.262754291,,
5.53396433,1.288778369,,
5.80209384,1.199968563,,
5.84039868,1.185178673,,
5.88388892,1.172636667,,
5.92225844,1.160629976,,
5.95514521,1.154952481,,
6.09218537,1.091509251,,
6.2292251,1.029470267,,
6.26211398,1.016771536,,
6.29500265,1.00477493,,
6.32789195,0.990671952,,
6.36078104,0.977271098,,
6.39366866,0.968785109,,
6.52931676,0.923599642,,
6.66773488,0.888940927,,
6.70062124,0.884667679,,
6.73350886,0.87618169,,
6.76639564,0.870504195,,
6.79928179,0.866933071,,
6.83216983,0.857042835,,
6.96371695,0.834332856,,
6.9828995,0.835701808,,
7.22889974,0.814638653,,
7.39167221,0.829058575,,
7.5254948,0.864192646,,
7.67073606,0.868138152,,
7.70361864,0.876503129,,
7.72279909,0.884893317,,
7.7842297,0.901933354,,
7.82418788,0.907876834,,
7.96120618,0.917454455,,
