Mg-Mg,,Cl-Cl,,Mg-Cl,
X,Y,X,Y,X,Y
2.275225137,-0.022704324,2.296130371,-0.016943165,1.520477536,0.005485027
2.643598482,-0.000639085,2.570301432,-0.011473356,1.862319048,0.032136571
2.83269718,0.194310659,2.786618597,0.058591393,1.889308229,0.364998643
2.93480837,0.488494851,2.906268495,0.21841747,1.920190884,0.764800045
3.011230153,0.828282258,2.987034901,0.398269337,1.958687466,1.256555308
3.054367375,1.120119537,3.068564799,0.634096627,1.998890143,1.844268055
3.07656314,1.312017987,3.164371972,1.055432089,2.055312945,2.35599861
3.118773268,1.53588511,3.255292804,1.405602257,2.115751384,2.975679443
3.161174268,1.773746089,3.336795435,1.639430424,2.240794116,3.731243946
3.243149535,2.042225708,3.405082405,1.86127538,2.272418227,4.025561394
3.350365441,2.247376745,3.477692808,2.078029104,2.36,4.369273915
3.6,2.488809757,3.6,2.280911123,2.474922354,4.046897856
3.795007869,2.310956898,3.697642166,2.179791394,2.522784995,3.643915636
3.870920657,2.134965008,3.772421404,1.998892189,2.554680241,3.243169094
3.926873617,1.93100269,3.848306922,1.820901177,2.586378114,2.825318922
4.001532098,1.663051177,3.942870698,1.576921847,2.627988882,2.41956505
4.076681396,1.431083864,4.037579899,1.343604503,2.653447581,2.11076353
4.170754356,1.151120334,4.171945169,1.146903165,2.728850357,1.539739326
4.245958188,0.923151266,4.384760405,0.960223502,2.737254369,1.131905899
4.320725738,0.663196242,4.656859136,0.813760021,2.813973345,0.740004016
4.513187716,0.419701672,4.9087773,0.623142743,2.944993364,0.507984852
4.825296127,0.335779324,5.16191601,0.522009983,3.134532101,0.353879606
5.081298794,0.444617863,5.398563842,0.647233222,3.285271834,0.163824726
5.338349746,0.630311545,5.635700931,0.808326425,3.426185898,0.033548182
5.692185258,0.734843297,5.910464087,0.857205746,3.6699797,0.277429024
6.04659036,0.881134492,6.146828337,0.961638113,3.844820711,0.457594298
6.400765205,1.010544209,6.365153951,1.178952494,4.020104683,0.670945001
6.754019011,1.072428021,6.620463676,1.236987942,4.166548241,0.876724965
7.106279069,1.061454933,6.893310314,1.145357529,4.294366141,1.122504656
7.458527008,1.049593346,7.166655558,1.090282493,4.462929449,1.230306497
7.810762826,1.036843261,7.440250107,1.053485147,4.717312639,1.23007702
8.162925932,1.018762183,7.713314887,0.977847711,4.910907394,1.379838353
8.515452606,1.027336068,7.985865477,0.864512542,5.129779564,1.589986921
8.867858089,1.027024965,8.259818399,0.853989373,5.295401784,1.477449673
9.220118145,1.016051878,8.534285506,0.881163938,5.465050026,1.268585761
9.572244895,0.995305303,8.808565638,0.894630236,5.673785465,1.117262002
9.826556974,0.980198264,9.083297632,0.941224845,5.902808103,1.050417192
,,9.357967299,0.983250032,6.09251584,0.908973053
,,9.63246557,1.012709308,6.262121389,0.696910545
,,9.828220426,1.010632547,6.44705724,0.595915102
,,,,6.704440704,0.820458603
,,,,6.93554472,0.909545328
,,,,7.165136623,0.88534846
,,,,7.395938215,0.951778466
,,,,7.62780718,1.098173361
,,,,7.857630349,1.091302218
,,,,8.087382358,1.079100083
,,,,8.317169946,1.069563444
,,,,8.546655111,1.037370087
,,,,8.776513858,1.033164441
,,,,9.006443765,1.034289787
,,,,9.235733244,0.9874362
,,,,9.465111674,0.947246354
,,,,9.637474602,0.94175981
