Na-K,,Na-Zn,,Cl-Cl,,Na-Cl,,K-Cl,,Zn-Cl,
R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF
1.047827443,0.001691994,1.183570671,0.00092263,1.832322521,0,0.809403256,-0.003155199,1.213585271,-0.015277142,1.526539183,0.003688178
1.280564142,0.001691994,1.416364764,0.00092263,2.022760895,0,1.04210285,-0.003155199,1.446280992,-0.015277142,1.759210771,0.003688178
1.513300841,0.001691994,1.649158856,0.00092263,2.21319927,0,1.274802445,-0.003155199,1.678976713,-0.015277142,1.984190735,0.043995413
1.74603754,0.001691994,1.881952949,0.00092263,2.403637644,0,1.507502039,-0.003155199,1.911672433,-0.002282088,2.049576513,0.24050684
1.978774239,0.001691994,2.114747042,0.00092263,2.594076019,0.001204169,1.740201634,-0.003155199,2.144368154,0.000605702,2.091873454,0.512805243
2.211510938,0.001691994,2.347541135,0.00092263,2.790862339,0.02637131,1.972901228,-0.000627017,2.386827332,0.029927875,2.101975692,0.854513043
2.444247637,0.001691994,2.580335228,0.00092263,2.930517148,0.103317735,2.148181442,0.041681336,2.503988813,0.138257015,2.134177379,1.338828736
2.676984336,0.001691994,2.81312932,0.00092263,2.974952768,0.196107588,2.200899821,0.144723389,2.546297126,0.252249509,2.155329341,1.830722625
2.909721035,0.008549987,3.045923413,0.005613538,3.022562362,0.287194402,2.226755331,0.221311255,2.56442926,0.353998977,2.17167404,2.212732656
3.142457734,0.044644687,3.284008281,0.044914932,3.076904625,0.409527066,2.263020203,0.435561789,2.578028361,0.451943181,2.194001111,3.03496705
3.33125114,0.127829089,3.426859201,0.142050818,3.101911685,0.596063853,2.285517855,0.551720578,2.615048135,0.673641209,2.203401983,3.256250407
3.452132185,0.254354896,3.490348499,0.240210513,3.124995124,0.545488738,2.300796111,0.665609162,2.616810981,0.560475947,2.21985351,3.957823061
3.523299605,0.372705407,3.532674698,0.329234679,3.159620283,0.692287935,2.332527874,0.894710616,2.649952493,0.803880529,2.23936032,4.608200784
3.58677325,0.486082871,3.575000897,0.421661041,3.201939922,0.835146214,2.343105128,1.097326353,2.667452749,0.973068913,2.264742675,5.232644231
3.650246895,0.60210728,3.602210596,0.516922568,3.246503784,0.975076172,2.353682383,1.289347804,2.688606906,1.139838773,2.282241116,5.902281291
3.705786335,0.714878152,3.649071744,0.635999477,3.292350059,1.107434458,2.392969327,1.509368441,2.707068715,1.295057474,2.287536091,6.187497076
3.781895937,0.822686004,3.696207738,0.783943515,3.313509879,1.214318828,2.414123836,1.806765209,2.727761652,1.44197378,2.292343355,6.587074745
3.819509949,0.9409162,3.733724142,0.936470211,3.324089788,1.293277936,2.42137681,2.062730748,2.752069375,1.622099668,2.312554816,7.050480335
3.882983594,1.052087876,3.790479726,1.075862362,3.372757373,1.399485677,2.452403423,2.286535059,2.7726466,1.779881282,2.318691062,7.277218435
3.927944093,1.166016787,3.80779499,1.20359941,3.415461736,1.529404608,2.459454926,2.485177938,2.802497465,1.920223855,2.336294505,7.586340819
3.964970386,1.268751328,3.850121188,1.362368621,3.487020398,1.648387492,2.495994531,2.739200045,2.810724082,2.036587746,2.393295903,7.856926818
4.041667707,1.373967379,3.855411963,1.305310936,3.567427711,1.755678985,2.51714904,2.903893051,2.842455316,2.150249347,2.454383078,7.533250946
4.13423344,1.476205618,3.894371305,1.452578401,3.734061289,1.743938334,2.539842058,3.05554786,2.863609473,2.28737424,2.498108231,7.081274789
4.22362549,1.577947554,3.903028937,1.580676288,3.800185725,1.667430571,2.56184343,3.210409785,2.901418046,2.428298382,2.523733006,6.637136775
4.402862974,1.675789974,3.953820375,1.709676272,3.869710846,1.582794664,2.584408239,3.352161279,2.978797335,2.581844944,2.531257402,6.422421188
4.621998178,1.662744318,4.002965795,1.832942924,3.930671278,1.488052336,2.66366679,3.423036866,3.08465248,2.506124317,2.541359641,6.235492324
4.773538071,1.585527441,4.037565782,1.929968554,4.023539374,1.38439342,2.73615641,3.25241594,3.134382675,2.373899642,2.562511603,5.712596719
4.933825053,1.507362362,4.080563826,2.042871104,4.107003106,1.289665428,2.766054441,3.095117393,3.176220896,2.251557625,2.587159017,5.112475676
5.004351326,1.412891646,4.159872006,2.164874819,4.181062474,1.202513667,2.792638436,2.955630492,3.212653054,2.145451405,2.60831098,4.666444642
5.099561794,1.321855656,4.298073458,2.277276205,4.265701752,1.118071288,2.821197022,2.823930262,3.254961367,2.042543812,2.637017215,4.403463157
5.237088025,1.238256319,4.508101186,2.30776711,4.360920939,1.033177345,2.861390589,2.696622248,3.291393525,1.920665045,2.647593196,4.146435969
5.349930061,1.162377238,4.61434422,2.207814674,4.492414102,0.973312924,2.871967843,2.585161521,3.321949529,1.804632047,2.650614905,3.955176707
5.469824724,1.066756362,4.715162874,2.109576225,4.66773832,0.920386811,2.897655461,2.485556306,3.380711074,1.688599049,2.671766867,3.558945254
5.598887802,0.980796833,4.753080094,2.010676236,4.858176695,0.881853391,2.91427686,2.387842928,3.425369849,1.558447968,2.674788576,3.762473979
5.744877186,0.891065408,4.796414059,1.923164159,5.048615069,0.837299123,2.930142742,2.283224344,3.471035965,1.448213468,2.696947775,3.329674718
5.977613885,0.80768665,4.865949957,1.836975158,5.239053444,0.785921228,2.955410627,2.166025045,3.51703786,1.340500055,2.711049084,3.131967973
6.210350584,0.744881872,4.902985381,1.739445499,5.429491819,0.74257113,2.970185204,2.049677073,3.572273713,1.243438232,2.714070792,2.960267677
6.443087283,0.718171794,4.950602354,1.63794661,5.619930193,0.72290303,2.993606267,1.946524663,3.622514835,1.148637508,2.738546635,2.728807884
6.675823982,0.728639257,4.987637778,1.541480138,5.810368568,0.719691911,3.020049403,1.853493582,3.681570188,1.046667444,2.76392899,2.275884299
6.908560681,0.768704374,5.045836301,1.448368611,6.000806942,0.734543334,3.041203912,1.763442143,3.773238199,0.948612943,2.76392899,2.472285909
7.14129738,0.827899683,5.0881625,1.360384006,6.191245317,0.766654518,3.0690894,1.640163168,3.868431903,0.849940776,2.779792962,2.082008754
7.374034079,0.904781394,5.128977049,1.266540061,6.381683691,0.814018514,3.11054369,1.506530685,4.02074183,0.758614424,2.827384877,1.836854076
7.606770778,1.002958979,5.20071171,1.148391024,6.572122066,0.867001968,3.148487491,1.395858224,4.238629641,0.687899671,2.84853684,1.573322269
7.839507477,1.079479743,5.268048844,1.044830198,6.762560441,0.92279515,3.17341959,1.29646584,4.471325362,0.662270537,2.869688802,1.396813426
8.072244176,1.158527137,5.343631342,0.951269769,6.952998815,0.967349418,3.230419239,1.182522077,4.704021082,0.679958249,2.918722897,1.176930887
8.304980875,1.198231307,5.435002183,0.84769176,7.14343719,0.997855043,3.28213026,1.069957779,4.936716803,0.724718991,2.962522416,0.916439927
8.537717574,1.200036042,5.532587586,0.757457924,7.333875564,1.013910635,3.326789778,0.966222053,5.169412524,0.792943025,3.036020144,0.688481632
8.770454273,1.172965017,5.665612782,0.675408264,7.524313939,1.015114804,3.409292361,0.851406469,5.380954088,0.877250443,3.134088334,0.488692798
9.003190972,1.116657285,5.827359327,0.623524753,7.714752314,1.001868941,3.514829854,0.745507742,5.560764418,0.963999448,3.267345698,0.350769609
9.235927671,1.058544817,6.029920421,0.596307174,7.905190688,0.988623077,3.630645447,0.653088641,5.719420591,1.052844106,3.493671696,0.242056926
9.46866437,1.003680873,6.262714513,0.596307174,8.095629063,0.969356367,3.855652492,0.584827724,5.878076764,1.141688764,3.726343284,0.208299502
9.701401069,0.952426398,6.495508606,0.629865212,8.286067437,0.950089657,4.088352087,0.566769281,6.079041251,1.230082204,3.959014872,0.226211605
9.934137768,0.919219274,6.728302699,0.709971496,8.476505812,0.926809048,4.321051681,0.58952292,6.311736971,1.283145341,4.191686459,0.284081474
10.16687447,0.899728136,6.929352143,0.791295613,8.666944186,0.908746507,4.553751276,0.648032277,6.544432692,1.264735682,4.424358047,0.38190911
10.39961117,0.896118666,7.088075388,0.874153295,8.857382561,0.890683966,4.765296362,0.721670597,6.777128413,1.200121385,4.657029635,0.526583784
10.63234787,0.911639387,7.259496492,0.961079438,9.047820936,0.878240882,4.955686939,0.809956321,6.999247055,1.113993055,4.86854926,0.689094012
10.86508456,0.936183783,7.416103428,1.052272504,9.23825931,0.867804748,5.150778518,0.905304903,7.221365698,1.030102761,5.058916922,0.85160424
11.09782126,0.961811021,7.595989772,1.134358392,9.428697685,0.864593629,5.300505429,0.987675484,7.454061419,0.961517754,5.249284585,1.021692666
11.33055796,0.995018145,7.807620765,1.20359941,9.619136059,0.866199188,5.458106518,1.09087046,7.68675714,0.914952143,5.450228229,1.188160397
11.56329466,1.023532958,8.040414858,1.249065138,9.809574434,0.870213086,5.590322196,1.16883779,7.91945286,0.88065964,5.672323835,1.338828736
11.79603136,1.042302202,8.273208951,1.246900104,10.00001281,0.879043662,5.770135519,1.262994515,8.152148581,0.864054848,5.904995423,1.392565043
12.02876806,1.059988605,8.506003044,1.189887523,10.19045118,0.891888136,5.99225786,1.313305339,8.384844302,0.870191402,6.13766701,1.342273371
12.26150476,1.063959022,8.738797137,1.117719699,10.38088956,0.904331219,6.224957454,1.286940011,8.617540023,0.891127878,6.370338598,1.234800756
12.49424146,1.052769665,8.971591229,1.046995232,10.57132793,0.916774303,6.457657049,1.20712169,8.850235743,0.927586224,6.603010185,1.121816726
12.72697816,1.03291758,9.204385322,0.978796639,10.76176631,0.926407658,6.669202134,1.126019214,9.082931464,0.969820149,6.835681773,1.043279046
12.95971486,1.019201594,9.437179415,0.925753289,10.95220468,0.936041014,6.88074722,1.04387336,9.315627185,1.011693101,7.068353361,0.979208833
13.19245155,1.004402767,9.669973508,0.889669377,11.14264306,0.939252132,7.113446815,0.972000755,9.548322906,1.048512421,7.301024948,0.924783599
13.42518825,0.983467841,9.9027676,0.875235812,11.33308143,0.940456301,7.346146409,0.913130229,9.781018626,1.071253766,7.533696536,0.878625489
13.65792495,0.968669014,10.13556169,0.882091756,11.52351981,0.939252132,7.578846004,0.88062503,10.01371435,1.079556161,7.766368124,0.853135189
13.89066165,0.965420491,10.36835579,0.896886159,11.71395818,0.934034065,7.811545598,0.862205418,10.24641007,1.075224477,7.999039711,0.847623773
14.12339835,0.963254809,10.60114988,0.928279163,11.90439655,0.929217387,8.044245193,0.865455938,10.47910579,1.057536764,8.231711299,0.873114073
14.35613505,0.967586173,10.83394397,0.9701365,12.09483493,0.92239376,8.276944787,0.88387555,10.71180151,1.036239315,8.464382886,0.914449694
14.58887175,0.975527007,11.06673806,1.009107125,12.2852733,0.916774303,8.509644381,0.917464255,10.94449723,1.013136996,8.697054474,0.96611922
14.82160845,0.987438258,11.29953216,1.044830198,12.47571168,0.909549287,8.742343976,0.965860884,11.17719295,0.992561494,8.929726062,1.026744797
15.05434515,0.998988562,11.53232625,1.075862362,12.66615005,0.90312705,8.97504357,1.009923486,11.40988867,0.977039624,9.162397649,1.06532471
15.28708185,1.01126076,11.76512034,1.08885257,12.85658843,0.899915932,9.207743165,1.046401542,11.64258439,0.964766517,9.395069237,1.097015353
15.51981854,1.016674965,11.99791444,1.086326696,13.0470268,0.895500644,9.440442759,1.070238688,11.87528011,0.957547043,9.627740824,1.102526769
15.75255524,1.022811064,12.23070853,1.067923901,13.23746518,0.895902034,9.673142354,1.085407781,12.10797583,0.958990938,9.860412412,1.102526769
15.98529194,1.022450117,12.46350262,1.050964463,13.42790355,0.895099254,9.905841948,1.078906741,12.34067155,0.965849438,10.093084,1.081858959
16.21802864,1.022450117,12.69629671,1.025344885,13.61834193,0.899113152,10.13854154,1.062654142,12.57336728,0.978483519,10.32575559,1.052924024
16.45076534,1.015953071,12.92909081,0.999725308,13.8087803,0.90312705,10.37124114,1.040622841,12.806063,0.993644415,10.55842717,1.025366943
16.68350204,1.010177919,13.1618849,0.982044191,13.99921867,0.906739558,10.60394073,1.017146864,13.03875872,1.004834601,10.79109876,0.99160952
16.91623874,1.001154244,13.39467899,0.972662374,14.18965705,0.912359015,10.83664033,0.994754394,13.27145444,1.016024786,11.02377035,0.97300849
17.14897544,0.992852463,13.62747308,0.958589649,14.38009542,0.915570134,11.06933992,0.977057119,13.50415016,1.025771077,11.25644194,0.960607804
17.38171214,0.995740039,13.86026718,0.961115522,14.5705338,0.917577083,11.30203951,0.968389066,13.73684588,1.02901984,11.48911353,0.950962826
17.61444884,0.987077311,14.09306127,0.963641396,14.76097217,0.917577083,11.53473911,0.957915169,13.9695416,1.026493024,11.72178511,0.950962826
17.84718553,0.986355417,14.32585536,0.976992444,14.95141055,0.924400709,11.7674387,0.958637507,14.20223732,1.021439392,11.9544567,0.95922995
18.07992223,0.986716364,14.55864946,0.988900134,15.14184892,0.924802099,12.0001383,0.962610364,14.43493304,1.015302839,12.18712829,0.971630636
18.31265893,0.991769622,14.79144355,1.006581251,15.3322873,0.924400709,12.23283789,0.975973612,14.66762876,1.005195574,12.41979988,0.988853811
18.54539563,0.995018145,15.02423764,1.01524139,15.52272567,0.917577083,12.46553749,0.990420367,14.90032448,0.997615126,12.65247146,1.006076987
18.77813233,0.998988562,15.25703173,1.021014816,15.71316405,0.917577083,12.69823708,1.003783616,15.1330202,0.99220052,12.88514305,1.019855527
19.01086903,1.006929396,15.48982583,1.030396633,15.90360242,0.916774303,12.93093668,1.01823037,15.36571592,0.988229809,13.11781464,1.032256213
19.24360573,1.009095078,15.72261992,1.032561668,16.0940408,0.911556236,13.16363627,1.02798193,15.59841165,0.984620072,13.35048623,1.041901192
19.47634243,1.010538866,15.95541401,1.027149081,16.28447917,0.910352066,13.39633586,1.028704268,15.83110737,0.984259098,13.58315781,1.041901192
19.70907913,1.010538866,16.18820811,1.018849781,16.47491754,0.909950677,13.62903546,1.029787774,16.06380309,0.989312731,13.8158294,1.03776763
19.92065794,1.012824864,16.4210022,1.008385447,16.66535592,0.906338168,13.86173505,1.025453748,16.29649881,0.993644415,14.04850099,1.026744797
,,16.65379629,0.999364469,16.85579429,0.90352844,14.09443465,1.016785695,16.52919453,0.997254152,14.28117258,1.012966257
,,16.88659038,0.992869365,17.04623267,0.907943728,14.32713424,1.006672967,16.76189025,1.003751679,14.51384416,1.00538806
,,17.11938448,0.986013421,17.23667104,0.90352844,14.55983384,1.000171927,16.99458597,1.006639469,14.74651575,0.996432009
,,17.35217857,0.985291743,17.42710942,0.907943728,14.79253343,0.992226212,17.22728169,1.01061018,14.97918734,0.99160952
,,17.58497266,0.985291743,17.61754779,0.910352066,15.02523303,0.987169847,17.45997741,1.012054075,15.21185893,0.983342395
,,17.81776675,0.986013421,17.80798617,0.910753456,15.25793262,0.983558159,17.69267313,1.010249206,15.44453051,0.981275614
,,18.05056085,0.989260974,17.99842454,0.913964575,15.49063222,0.985725172,17.92536885,1.011693101,15.6772021,0.988164884
,,18.28335494,0.993951882,18.18886292,0.913964575,15.72333181,0.987892185,18.15806457,1.005556548,15.90987369,0.996432009
,,18.51614903,1.001168664,18.37930129,0.915971524,15.9560314,0.990420367,18.39076029,1.003751679,16.14254528,1.001254498
,,18.74894313,1.00694209,18.56973967,0.916774303,16.188731,0.997282576,18.62345602,0.999059021,16.37521687,1.009521622
,,18.98173722,1.016684746,18.76017804,0.917175693,16.42143059,1.000533096,18.85615174,0.998337074,16.60788845,1.011588403
,,19.21453131,1.010911321,18.95061641,0.917577083,16.65413019,1.005950629,19.08884746,0.997254152,16.84056004,1.011588403
,,19.4473254,1.015602229,19.14105479,0.917577083,16.88682978,1.008478811,19.32154318,0.996171231,17.07323163,1.011588403
,,19.6801195,1.010550481,19.33149316,0.917175693,17.11952938,1.012812837,19.5542389,0.99508831,17.30590322,1.011588403
,,19.90233204,1.009107125,19.52193154,0.915168744,17.35222897,1.012451669,19.78693462,0.996532205,17.5385748,1.013655184
,,,,19.71236991,0.913964575,17.58492857,1.010284655,19.95616787,0.997254152,17.77124639,1.011588403
,,,,19.90280829,0.913161795,17.81762816,1.005950629,,,18.00391798,1.011588403
,,,,20.00860738,0.910352066,18.05032775,1.004867122,,,18.23658957,1.004010206
,,,,,,18.28302735,0.999449589,,,18.46926115,1.004010206
,,,,,,18.51572694,0.997643745,,,18.70193274,1.004010206
,,,,,,18.74842654,0.994393225,,,18.93460433,0.996432009
,,,,,,18.98112613,0.994032056,,,19.16727592,0.996432009
,,,,,,19.21382573,0.995476732,,,19.3999475,0.999187717
,,,,,,19.44652532,0.992948549,,,19.63261909,1.002632352
,,,,,,19.67922492,0.996921407,,,19.86529068,1.004010206
,,,,,,19.90134726,0.998004914,,,19.99220245,1.004010206
